iter	Passed	Remaining
492	5066	5210
493	5077	5200
494	5087	5190
495	5097	5180
496	5108	5169
497	5118	5159
498	5128	5149
499	5139	5139
500	5148	5128
501	5159	5118
502	5169	5107
503	5180	5097
504	5190	5088
505	5200	5077
506	5211	5067
507	5221	5057
508	5231	5046
509	5242	5036
510	5252	5026
511	5262	5015
512	5274	5007
513	5285	4997
514	5294	4986
515	5305	4976
516	5314	4965
517	5325	4955
518	5335	4944
519	5345	4933
520	5355	4923
521	5365	4913
522	5376	4903
523	5386	4893
524	5396	4882
525	5407	4872
526	5417	4862
527	5427	4851
528	5437	4841
529	5447	4830
530	5457	4820
531	5468	4810
532	5478	4799
533	5488	4789
534	5498	4778
535	5509	4769
536	5519	4759
537	5529	4748
538	5539	4738
539	5550	4728
540	5560	4717
541	5570	4707
542	5580	4696
543	5591	4686
544	5601	4676
545	5612	4666
546	5622	4656
547	5633	4646
548	5643	4635
549	5653	4625
550	5662	4614
551	5673	4604
552	5685	4595
553	5694	4584
554	5705	4574
555	5716	4564
556	5726	4554
557	5736	4544
558	5746	4533
559	5756	4522
560	5767	4513
561	5777	4502
562	5788	4492
563	5798	4482
564	5808	4472
565	5819	4462
566	5829	4451
567	5839	4441
568	5850	4431
569	5860	4420
570	5870	4410
571	5881	4400
572	5891	4390
573	5901	4380
574	5911	4369
575	5922	4359
576	5932	4349
577	5942	4338
578	5953	4328
579	5963	4318
580	5973	4307
581	5984	4297
582	5993	4287
583	6004	4277
584	6015	4267
585	6024	4256
586	6035	4246
587	6044	4235
588	6055	4225
589	6066	4215
590	6075	4204
591	6086	4194
592	6096	4184
593	6106	4173
594	6117	4163
595	6126	4153
596	6137	4143
597	6148	4133
598	6158	4122
599	6168	4112
600	6179	4102
601	6188	4091
602	6199	4081
603	6209	4071
604	6219	4060
605	6229	4050
606	6240	4040
607	6250	4030
608	6261	4020
609	6271	4009
610	6282	3999
611	6292	3989
612	6302	3979
613	6313	3968
614	6322	3958
615	6333	3948
616	6343	3937
617	6354	3927
618	6364	3917
619	6373	3906
620	6384	3896
621	6395	3886
622	6405	3876
623	6415	3865
624	6425	3855
625	6436	3845
626	6446	3835
627	6456	3824
628	6467	3814
629	6477	3804
630	6487	3793
631	6497	3783
632	6508	3773
633	6518	3763
634	6528	3752
635	6538	3742
636	6549	3732
637	6560	3722
638	6570	3711
639	6580	3701
640	6590	3691
641	6600	3680
642	6611	3670
643	6620	3659
644	6631	3649
645	6641	3639
646	6651	3629
647	6662	3619
648	6672	3608
649	6682	3598
650	6693	3588
651	6702	3577
652	6713	3567
653	6722	3556
654	6733	3546
655	6743	3536
656	6753	3526
657	6765	3516
658	6775	3506
659	6785	3495
660	6795	3485
661	6805	3474
662	6815	3464
663	6826	3454
664	6836	3444
665	6846	3433
666	6857	3423
667	6868	3413
668	6879	3403
669	6889	3393
670	6899	3382
671	6910	3372
672	6919	3362
673	6930	3352
674	6940	3341
675	6950	3331
676	6961	3321
677	6970	3310
678	6981	3300
679	6992	3290
680	7002	3280
681	7013	3270
682	7023	3260
683	7033	3249
684	7044	3239
685	7054	3228
686	7064	3218
687	7075	3208
688	7085	3198
689	7095	3187
690	7106	3177
691	7116	3167
692	7126	3157
693	7136	3146
694	7147	3136
695	7157	3126
696	7167	3115
697	7178	3105
698	7188	3095
699	7198	3085
700	7209	3074
701	7218	3064
702	7229	3054
703	7239	3044
704	7250	3033
705	7260	3023
706	7271	3013
707	7281	3003
708	7292	2993
709	7302	2982
710	7312	2972
711	7323	2962
712	7333	2952
713	7344	2941
714	7354	2931
715	7364	2921
716	7375	2911
717	7386	2900
718	7396	2890
719	7406	2880
720	7416	2869
721	7427	2859
722	7437	2849
723	7447	2839
724	7457	2828
725	7467	2818
726	7478	2808
727	7488	2798
728	7498	2787
729	7509	2777
730	7520	2767
731	7530	2757
732	7540	2746
733	7550	2736
734	7560	2726
735	7571	2715
736	7580	2705
737	7591	2695
738	7601	2684
739	7612	2674
740	7622	2664
741	7632	2653
742	7643	2643
743	7653	2633
744	7663	2622
745	7673	2612
746	7684	2602
747	7694	2592
748	7705	2582
749	7714	2571
750	7725	2561
751	7735	2551
752	7745	2540
753	7756	2530
754	7766	2520
755	7776	2509
756	7787	2499
757	7796	2489
758	7807	2479
759	7817	2468
760	7827	2458
761	7838	2448
762	7848	2437
763	7860	2427
764	7871	2417
765	7881	2407
766	7891	2397
767	7902	2387
768	7913	2377
769	7924	2366
770	7935	2356
771	7944	2346
772	7955	2336
773	7965	2325
774	7975	2315
775	7986	2305
776	7996	2294
777	8006	2284
778	8017	2274
779	8027	2264
780	8037	2253
781	8048	2243
782	8058	2233
783	8068	2222
784	8078	2212
785	8088	2202
786	8099	2192
787	8109	2181
788	8120	2171
789	8130	2161
790	8140	2150
791	8151	2140
792	8160	2130
793	8171	2120
794	8182	2109
795	8192	2099
796	8202	2089
797	8212	2078
798	8223	2068
799	8233	2058
800	8244	2048
801	8254	2038
802	8265	2027
803	8274	2017
804	8285	2007
805	8295	1996
806	8305	1986
807	8315	1976
808	8325	1965
809	8335	1955
810	8346	1945
811	8356	1934
812	8367	1924
813	8376	1914
814	8387	1903
815	8397	1893
816	8407	1883
817	8417	1872
818	8427	1862
819	8437	1852
820	8448	1842
821	8458	1831
822	8468	1821
823	8479	1811
824	8489	1800
825	8499	1790
826	8509	1780
827	8520	1769
828	8530	1759
829	8540	1749
830	8551	1739
831	8561	1728
832	8571	1718
833	8582	1708
834	8592	1697
835	8602	1687
836	8613	1677
837	8623	1667
838	8633	1656
839	8643	1646
840	8653	1636
841	8665	1625
842	8674	1615
843	8685	1605
844	8696	1595
845	8706	1584
846	8716	1574
847	8726	1564
848	8737	1553
849	8748	1543
850	8757	1533
851	8768	1523
852	8779	1512
853	8788	1502
854	8799	1492
855	8809	1481
856	8819	1471
857	8829	1461
858	8839	1450
859	8850	1440
860	8860	1430
861	8870	1420
862	8881	1409
863	8890	1399
864	8901	1389
865	8911	1378
866	8921	1368
867	8931	1358
868	8942	1347
869	8951	1337
870	8962	1327
871	8972	1317
872	8982	1306
873	8993	1296
874	9003	1286
875	9014	1276
876	9024	1265
877	9034	1255
878	9045	1245
879	9055	1234
880	9065	1224
881	9076	1214
882	9086	1203
883	9096	1193
884	9107	1183
885	9117	1173
886	9127	1162
887	9137	1152
888	9148	1142
889	9159	1132
890	9168	1121
891	9179	1111
892	9189	1101
893	9200	1090
894	9210	1080
895	9220	1070
896	9231	1059
897	9242	1049
898	9251	1039
899	9262	1029
900	9273	1018
901	9283	1008
902	9293	998
903	9303	987
904	9314	977
905	9324	967
906	9334	957
907	9345	946
908	9356	936
909	9366	926
910	9376	916
911	9386	905
912	9396	895
913	9407	885
914	9417	874
915	9428	864
916	9439	854
917	9448	844
918	9459	833
919	9469	823
920	9479	813
921	9490	802
922	9500	792
923	9510	782
924	9521	772
925	9531	761
926	9541	751
927	9551	741
928	9561	730
929	9572	720
930	9581	710
931	9592	699
932	9602	689
933	9613	679
934	9623	669
935	9633	658
936	9644	648
937	9654	638
938	9664	627
939	9674	617
940	9684	607
941	9694	596
942	9705	586
943	9715	576
944	9726	566
945	9738	555
946	9747	545
947	9758	535
948	9768	524
949	9779	514
950	9790	504
951	9800	494
952	9812	483
953	9823	473
954	9832	463
955	9845	453
956	9856	442
957	9866	432
958	9877	422
959	9888	412
960	9897	401
961	9907	391
962	9918	381
963	9927	370
964	9938	360
965	9947	350
966	9958	339
967	9968	329
968	9978	319
969	9988	308
970	9998	298
971	10009	288
972	10019	278
973	10029	267
974	10039	257
975	10050	247
976	10060	236
977	10071	226
978	10081	216
979	10091	205
980	10102	195
981	10112	185
982	10122	175
983	10133	164
984	10143	154
985	10154	144
986	10163	133
987	10174	123
988	10184	113
989	10194	102
990	10205	92
991	10215	82
992	10225	72
993	10236	61
994	10246	51
995	10256	41
996	10267	30
997	10277	20
998	10287	10
999	10298	0
